                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.4439,                0.88731,                0.81055,                0.92173,                0.87879,                0.89493,                 0.4952,                 1.3457,                 1.5825,                0.55159,               0.001337,               0.001337,               0.001337
                     36,                 1.5931,                0.89444,                0.81068,                  0.941,                0.96673,                0.95456,                0.48702,                 1.4713,                 1.6926,                0.55456,              0.0013175,              0.0013175,              0.0013175
                     37,                 1.4116,                0.80106,                0.81963,                0.89075,                0.98845,                0.95212,                0.50243,                 1.4624,                 1.7964,                0.55371,               0.001298,               0.001298,               0.001298
                     38,                 1.4954,                0.86901,                0.79523,                0.86082,                0.93717,                0.90136,                0.50089,                 1.3763,                 1.6446,                0.55359,              0.0012785,              0.0012785,              0.0012785
                     39,                 1.4715,                0.85947,                0.80955,                0.85168,                0.90909,                0.89015,                0.43859,                 1.5458,                 1.8998,                 0.5644,               0.001259,               0.001259,               0.001259
                     40,                 1.5975,                0.80728,                0.80276,                0.85649,                0.90438,                0.88414,                0.46236,                 1.4158,                  1.851,                0.55986,              0.0012395,              0.0012395,              0.0012395
                     41,                 1.4197,                0.83785,                0.79671,                0.85668,                0.90576,                0.88887,                0.51657,                 1.3757,                 1.6752,                 0.5635,                0.00122,                0.00122,                0.00122
                     42,                 1.3693,                0.80782,                0.80273,                0.85613,                0.90175,                0.89564,                0.51572,                 1.4527,                 1.6313,                0.56637,              0.0012005,              0.0012005,              0.0012005
                     43,                 1.3514,                0.81331,                0.78688,                0.87744,                0.90909,                0.91236,                0.52587,                 1.4465,                 1.7223,                0.56314,               0.001181,               0.001181,               0.001181
                     44,                 1.3935,                0.87503,                0.81787,                0.92064,                0.93939,                0.92868,                0.52379,                 1.4105,                 1.6155,                0.56525,              0.0011615,              0.0011615,              0.0011615
                     45,                 1.4368,                 0.7935,                0.81962,                 0.9027,                0.90909,                0.86849,                0.49705,                 1.4064,                 1.5553,                0.55349,               0.001142,               0.001142,               0.001142
                     46,                 1.5481,                0.78464,                0.80419,                0.91091,                0.92974,                0.87696,                0.51343,                 1.2975,                 1.5118,                0.54648,              0.0011225,              0.0011225,              0.0011225
                     47,                 1.4799,                0.84067,                0.79681,                0.91105,                0.93128,                0.89982,                0.57317,                 1.2851,                 1.4708,                0.55188,               0.001103,               0.001103,               0.001103
                     48,                  1.396,                 0.8271,                0.79705,                0.92602,                 0.9697,                0.92713,                0.57346,                 1.3071,                  1.469,                0.55066,              0.0010835,              0.0010835,              0.0010835
                     49,                 1.3549,                0.76907,                0.80262,                0.94047,                0.95761,                0.92216,                0.52156,                 1.3477,                 1.5315,                0.55066,               0.001064,               0.001064,               0.001064
                     50,                 1.5003,                0.76556,                0.78978,                0.88816,                0.96278,                 0.9095,                0.57441,                 1.2848,                  1.559,                0.54522,              0.0010445,              0.0010445,              0.0010445
                     51,                 1.4298,                0.81549,                0.79532,                0.93023,                 0.9697,                 0.9341,                0.62681,                 1.1769,                 1.4539,                0.54788,               0.001025,               0.001025,               0.001025
                     52,                 1.2857,                0.77507,                0.80449,                 0.9154,                      1,                0.95418,                0.61579,                  1.207,                 1.5065,                0.54786,              0.0010055,              0.0010055,              0.0010055
                     53,                  1.346,                0.80376,                0.79565,                0.93084,                 0.9697,                0.93028,                0.57881,                 1.2367,                 1.4421,                0.54839,               0.000986,               0.000986,               0.000986
                     54,                 1.5214,                0.89477,                0.80562,                0.90707,                0.93939,                0.88515,                0.56297,                 1.2667,                 1.4764,                0.55061,              0.0009665,              0.0009665,              0.0009665
                     55,                 1.3466,                 0.8088,                0.79737,                0.88844,                0.96538,                0.91759,                0.60853,                 1.1824,                 1.4814,                0.55274,               0.000947,               0.000947,               0.000947
                     56,                 1.3565,                0.78322,                0.79858,                0.93574,                 0.9697,                0.93979,                 0.5931,                 1.1858,                 1.4517,                0.55097,              0.0009275,              0.0009275,              0.0009275
                     57,                 1.3665,                 0.7786,                 0.8209,                0.96958,                0.96611,                0.94491,                 0.5541,                 1.2231,                 1.4625,                0.55222,               0.000908,               0.000908,               0.000908
