                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     33,                 1.1892,                  1.341,                 1.1319,                0.50349,                0.39771,                0.38254,                0.26428,                 1.3316,                 1.6313,                 1.1775,             0.00052907,             0.00052907,             0.00052907
                     34,                 1.1739,                 1.3208,                 1.1251,                0.49797,                0.40305,                0.39003,                0.27639,                 1.3005,                 1.6163,                 1.1754,             0.00052157,             0.00052157,             0.00052157
                     35,                 1.1679,                 1.3077,                 1.1203,                0.50941,                0.39019,                0.39569,                0.27259,                 1.3183,                 1.6073,                 1.1751,             0.00051408,             0.00051408,             0.00051408
                     36,                 1.1554,                 1.2934,                 1.1146,                0.49465,                0.39669,                0.39195,                0.27424,                 1.3226,                 1.6296,                 1.1813,             0.00050658,             0.00050658,             0.00050658
                     37,                 1.1633,                 1.2944,                 1.1182,                0.47264,                0.37789,                 0.3641,                0.25143,                  1.344,                 1.6883,                 1.1822,             0.00049908,             0.00049908,             0.00049908
                     38,                 1.1533,                 1.2756,                 1.1099,                0.44694,                0.40996,                0.38166,                0.26286,                 1.3249,                 1.6316,                 1.1767,             0.00049158,             0.00049158,             0.00049158
                     39,                 1.1424,                 1.2438,                 1.1034,                 0.5079,                0.37284,                0.38914,                0.26845,                 1.3134,                 1.6249,                 1.1856,             0.00048409,             0.00048409,             0.00048409
                     40,                 1.1402,                 1.2516,                 1.1102,                0.50683,                  0.394,                0.39721,                0.27173,                 1.3324,                 1.6353,                 1.1777,             0.00047659,             0.00047659,             0.00047659
                     41,                 1.1337,                 1.2352,                 1.1058,                0.48841,                0.38115,                0.38778,                0.27178,                 1.3069,                 1.6403,                 1.1849,             0.00046909,             0.00046909,             0.00046909
                     42,                 1.1259,                 1.2305,                 1.1027,                 0.5178,                0.38004,                0.38639,                0.26753,                 1.3235,                 1.6367,                  1.176,             0.00046159,             0.00046159,             0.00046159
                     43,                 1.1207,                 1.2134,                 1.0964,                0.50158,                 0.3787,                0.38723,                0.27332,                 1.3035,                 1.6391,                 1.1798,             0.00045409,             0.00045409,             0.00045409
                     44,                 1.1106,                 1.1955,                 1.0943,                0.51632,                 0.4171,                 0.3967,                0.28136,                 1.3219,                 1.6351,                 1.1884,              0.0004466,              0.0004466,              0.0004466
                     45,                 1.1083,                 1.1956,                 1.0957,                0.47564,                0.41135,                 0.3916,                0.27632,                 1.3177,                 1.6384,                 1.1825,              0.0004391,              0.0004391,              0.0004391
                     46,                 1.0943,                 1.1767,                 1.0873,                0.49253,                0.38059,                 0.3926,                0.27709,                 1.3355,                  1.649,                 1.1911,              0.0004316,              0.0004316,              0.0004316
                     47,                 1.1061,                 1.1825,                 1.0956,                0.49657,                0.39588,                0.38549,                0.27163,                 1.3441,                 1.6903,                  1.192,              0.0004241,              0.0004241,              0.0004241
                     48,                 1.1067,                 1.1601,                 1.0891,                  0.452,                0.39286,                0.38262,                0.26865,                 1.3153,                 1.6681,                 1.1776,             0.00041661,             0.00041661,             0.00041661
                     49,                 1.0893,                 1.1439,                 1.0786,                0.47567,                0.38659,                0.38911,                0.27942,                 1.3265,                 1.6955,                   1.19,             0.00040911,             0.00040911,             0.00040911
                     50,                 1.0696,                 1.1244,                 1.0743,                0.50788,                0.36166,                0.38621,                0.27326,                 1.3312,                 1.6631,                 1.1893,             0.00040161,             0.00040161,             0.00040161
                     51,                  1.075,                 1.1277,                 1.0775,                0.49662,                0.38093,                0.38738,                0.27063,                 1.3195,                 1.6456,                 1.1866,             0.00039411,             0.00039411,             0.00039411
                     52,                 1.0734,                 1.1077,                 1.0748,                0.47292,                 0.3983,                0.39026,                0.27393,                 1.3279,                 1.6718,                 1.1953,             0.00038661,             0.00038661,             0.00038661
                     53,                  1.063,                 1.0895,                 1.0694,                 0.4757,                0.40211,                0.38811,                0.27537,                 1.3129,                 1.6686,                 1.1847,             0.00037912,             0.00037912,             0.00037912
                     54,                 1.0739,                 1.1054,                 1.0752,                0.47027,                 0.3936,                0.38545,                0.27462,                 1.3188,                 1.6797,                 1.1906,             0.00037162,             0.00037162,             0.00037162
                     55,                 1.0602,                 1.0889,                 1.0702,                0.49456,                0.40153,                 0.3885,                0.27299,                 1.3198,                 1.6751,                 1.1829,             0.00036412,             0.00036412,             0.00036412
                     56,                 1.0498,                 1.0781,                 1.0635,                0.50913,                0.39339,                0.39257,                0.27713,                 1.3011,                 1.6499,                 1.1785,             0.00035662,             0.00035662,             0.00035662
                     57,                 1.0421,                 1.0651,                  1.061,                0.44352,                0.41971,                 0.3822,                 0.2703,                  1.318,                 1.6733,                 1.1842,             0.00034913,             0.00034913,             0.00034913
                     58,                 1.0486,                 1.0614,                 1.0623,                0.47264,                0.43573,                0.39072,                0.27363,                 1.3208,                    1.7,                 1.1934,             0.00034163,             0.00034163,             0.00034163
                     59,                 1.0424,                 1.0593,                 1.0598,                0.50746,                0.39445,                0.39263,                0.27773,                 1.3197,                 1.6921,                 1.1939,             0.00033413,             0.00033413,             0.00033413
                     60,                 1.0414,                 1.0528,                 1.0601,                0.51543,                0.39474,                0.39601,                0.28052,                 1.3192,                  1.683,                  1.189,             0.00032663,             0.00032663,             0.00032663
                     61,                 1.0323,                 1.0374,                 1.0552,                0.46295,                0.42418,                0.39509,                0.27938,                 1.3199,                 1.6869,                  1.189,             0.00031914,             0.00031914,             0.00031914
                     62,                  1.025,                 1.0247,                 1.0533,                0.52175,                0.40003,                 0.3982,                0.28093,                 1.3209,                 1.6957,                 1.1898,             0.00031164,             0.00031164,             0.00031164
                     63,                 1.0172,                 1.0128,                 1.0486,                0.50802,                0.40902,                   0.39,                0.27608,                 1.3313,                 1.7185,                  1.197,             0.00030414,             0.00030414,             0.00030414
