                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.3034,                0.66598,                 1.1809,                0.89231,                0.83181,                 0.8883,                0.52085,                 1.5011,                0.72585,                 1.3619,              0.0013416,              0.0013416,              0.0013416
                     35,                 1.3283,                0.67118,                 1.1883,                0.86659,                0.82765,                0.88293,                0.51584,                 1.5085,                0.75948,                  1.372,              0.0013217,              0.0013217,              0.0013217
                     36,                 1.3148,                 0.6713,                 1.1701,                0.85874,                0.83719,                0.87459,                0.49695,                 1.5586,                0.75012,                 1.3735,              0.0013017,              0.0013017,              0.0013017
                     37,                 1.3067,                0.66123,                 1.1676,                0.87363,                0.84299,                0.88616,                0.51687,                 1.4845,                0.74295,                 1.3568,              0.0012818,              0.0012818,              0.0012818
                     38,                 1.3098,                0.66066,                  1.182,                0.88034,                0.84427,                0.88671,                0.50594,                 1.5416,                0.73927,                 1.3934,              0.0012618,              0.0012618,              0.0012618
                     39,                 1.2881,                0.63426,                 1.1627,                0.88756,                  0.861,                0.90178,                0.52262,                 1.5455,                0.69551,                 1.3843,              0.0012419,              0.0012419,              0.0012419
                     40,                 1.3008,                0.64618,                 1.1705,                0.88824,                0.84898,                0.89359,                0.50944,                 1.5465,                0.71719,                 1.3664,              0.0012219,              0.0012219,              0.0012219
                     41,                  1.296,                0.64067,                 1.1603,                0.86922,                0.87248,                0.89354,                0.51692,                 1.5151,                0.69482,                 1.3532,               0.001202,               0.001202,               0.001202
                     42,                 1.2934,                0.63236,                 1.1625,                0.89005,                0.84685,                0.89788,                0.54375,                 1.4463,                0.67953,                 1.3431,              0.0011821,              0.0011821,              0.0011821
                     43,                 1.2795,                0.62462,                 1.1601,                0.88962,                0.86616,                0.90174,                0.51619,                 1.5619,                0.69168,                  1.352,              0.0011621,              0.0011621,              0.0011621
                     44,                 1.2712,                0.62421,                 1.1664,                0.87263,                0.87734,                0.90563,                0.54349,                 1.4568,                0.68504,                 1.3405,              0.0011421,              0.0011421,              0.0011421
                     45,                 1.2904,                  0.624,                 1.1582,                0.89921,                0.85006,                0.90643,                0.53156,                 1.5031,                0.68458,                 1.3685,              0.0011222,              0.0011222,              0.0011222
                     46,                 1.2487,                0.60619,                 1.1502,                0.87064,                0.84889,                0.88791,                0.52529,                 1.5006,                0.70136,                 1.3782,              0.0011022,              0.0011022,              0.0011022
                     47,                 1.2562,                0.61465,                 1.1371,                0.88397,                0.85907,                0.89708,                0.53082,                 1.4885,                0.69333,                 1.3531,              0.0010823,              0.0010823,              0.0010823
                     48,                  1.252,                0.60616,                 1.1387,                0.88029,                0.86119,                0.89704,                0.50653,                  1.548,                0.71605,                 1.3759,              0.0010623,              0.0010623,              0.0010623
                     49,                 1.2475,                0.60551,                 1.1337,                0.88339,                0.84299,                 0.8869,                0.50983,                 1.5462,                0.71872,                 1.3632,              0.0010424,              0.0010424,              0.0010424
                     50,                 1.2185,                0.59399,                 1.1227,                0.89765,                0.85006,                0.89576,                0.52749,                 1.4905,                0.66951,                 1.3499,              0.0010224,              0.0010224,              0.0010224
                     51,                 1.2453,                0.59996,                   1.15,                0.89545,                0.85425,                0.90095,                0.53605,                 1.5004,                0.67593,                 1.3534,              0.0010025,              0.0010025,              0.0010025
                     52,                 1.2148,                0.58274,                 1.1269,                 0.8688,                0.85586,                0.89136,                0.52345,                  1.487,                0.70483,                 1.3689,             0.00098255,             0.00098255,             0.00098255
                     53,                 1.2122,                0.58333,                 1.1299,                0.88692,                0.86309,                 0.9004,                0.53075,                 1.4923,                0.66831,                 1.3777,              0.0009626,              0.0009626,              0.0009626
                     54,                   1.23,                0.58416,                 1.1318,                0.89674,                0.85843,                0.89763,                0.53091,                 1.5168,                0.67222,                 1.3632,             0.00094265,             0.00094265,             0.00094265
                     55,                 1.2004,                0.56366,                 1.1146,                0.88152,                0.87323,                0.90508,                0.53838,                 1.5129,                0.66534,                 1.3866,              0.0009227,              0.0009227,              0.0009227
                     56,                 1.2044,                0.57023,                 1.1148,                 0.8969,                0.87889,                0.90462,                 0.5267,                  1.519,                0.66145,                 1.3626,             0.00090275,             0.00090275,             0.00090275
                     57,                 1.1987,                 0.5752,                 1.1109,                0.90154,                0.85135,                0.90271,                0.53796,                 1.4727,                0.66375,                 1.3529,              0.0008828,              0.0008828,              0.0008828
