               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.033517,            0.019628,            0.016316,             0.66766,             0.57196,             0.64304,             0.38731,            0.033351,            0.013439,            0.022703,            0.006436,            0.006436,            0.006436
                  38,            0.032972,            0.020898,            0.017193,             0.63863,             0.63823,             0.68961,              0.4108,            0.032725,            0.013062,            0.021024,            0.006337,            0.006337,            0.006337
                  39,            0.032795,            0.019224,            0.016177,             0.64157,             0.59381,             0.66665,             0.39117,            0.035697,            0.013359,            0.018496,            0.006238,            0.006238,            0.006238
                  40,            0.034975,            0.020119,            0.016338,              0.7221,             0.65509,              0.7262,             0.44862,            0.030613,            0.012351,             0.01478,            0.006139,            0.006139,            0.006139
                  41,            0.032097,            0.020652,            0.015765,             0.74301,             0.70165,               0.767,             0.46545,            0.031337,            0.011926,             0.01475,             0.00604,             0.00604,             0.00604
                  42,            0.032162,            0.019255,            0.014822,             0.72925,              0.6685,             0.74363,             0.45385,            0.031939,             0.01199,            0.015704,            0.005941,            0.005941,            0.005941
                  43,            0.031578,             0.01918,            0.015561,             0.78733,             0.70006,             0.76813,              0.4866,            0.033736,            0.012218,            0.015115,            0.005842,            0.005842,            0.005842
                  44,            0.033356,            0.018624,            0.013509,               0.774,             0.71167,             0.77601,             0.48451,            0.032092,            0.012584,            0.015008,            0.005743,            0.005743,            0.005743
                  45,            0.031102,            0.019425,            0.014589,             0.84085,             0.65821,             0.77292,              0.4677,            0.033527,            0.012819,            0.013497,            0.005644,            0.005644,            0.005644
                  46,            0.030938,            0.019536,            0.012963,             0.75967,             0.71872,             0.77761,             0.48057,            0.033018,            0.012664,            0.015308,            0.005545,            0.005545,            0.005545
                  47,            0.029431,            0.018769,            0.015107,             0.84481,             0.66126,             0.76237,             0.49155,            0.034041,            0.012832,            0.018875,            0.005446,            0.005446,            0.005446
                  48,            0.030954,             0.01946,            0.014445,             0.79215,             0.69508,             0.78982,             0.51014,            0.031878,            0.012941,            0.020503,            0.005347,            0.005347,            0.005347
                  49,            0.030798,             0.01886,            0.012461,             0.75678,             0.70231,             0.77382,             0.50012,             0.03097,            0.012626,            0.015811,            0.005248,            0.005248,            0.005248
                  50,            0.029153,            0.018492,            0.013391,             0.79166,             0.69962,             0.78385,             0.50943,            0.029682,            0.012519,             0.01556,            0.005149,            0.005149,            0.005149
                  51,            0.029741,            0.018573,            0.011723,             0.76993,             0.70099,             0.78639,             0.52014,            0.028619,            0.012358,            0.016921,             0.00505,             0.00505,             0.00505
                  52,            0.030736,            0.018077,            0.011361,              0.7369,             0.72087,              0.7882,             0.50357,            0.030059,            0.012389,            0.015331,            0.004951,            0.004951,            0.004951
                  53,            0.029521,             0.01801,            0.013103,             0.81583,             0.68941,             0.78213,             0.51584,            0.031311,            0.012915,            0.013546,            0.004852,            0.004852,            0.004852
                  54,            0.029553,            0.018127,             0.01363,             0.85192,             0.65929,             0.79051,             0.49407,             0.03074,            0.012141,            0.013938,            0.004753,            0.004753,            0.004753
                  55,            0.028189,            0.017993,            0.011008,             0.83469,             0.74687,              0.8217,              0.5316,            0.030981,            0.012075,            0.011003,            0.004654,            0.004654,            0.004654
                  56,            0.029383,            0.018041,            0.013152,             0.81105,             0.76103,             0.81831,             0.52311,            0.032617,            0.012814,            0.011447,            0.004555,            0.004555,            0.004555
                  57,            0.030189,            0.018444,            0.011437,             0.82588,             0.71973,             0.78678,             0.47581,             0.03168,            0.012612,            0.012123,            0.004456,            0.004456,            0.004456
                  58,            0.027987,            0.018216,            0.012657,             0.82325,             0.72645,             0.79776,              0.5074,            0.031446,            0.012421,            0.012082,            0.004357,            0.004357,            0.004357
                  59,            0.026619,            0.017296,              0.0113,             0.80354,             0.70885,             0.80587,             0.51161,             0.03108,            0.011619,             0.01359,            0.004258,            0.004258,            0.004258
                  60,            0.027634,            0.017702,            0.011841,             0.77075,             0.70826,             0.77094,             0.50606,            0.030944,             0.01279,            0.017205,            0.004159,            0.004159,            0.004159
                  61,              0.0269,             0.01786,            0.011782,             0.83457,              0.7031,             0.78688,             0.51605,            0.032279,            0.013071,            0.019098,             0.00406,             0.00406,             0.00406
                  62,            0.025525,            0.017116,            0.010347,             0.83181,             0.75544,             0.81467,             0.54835,            0.031867,            0.012916,            0.016347,            0.003961,            0.003961,            0.003961
                  63,            0.027102,            0.017142,            0.010718,             0.84134,             0.73139,             0.80831,              0.5267,            0.031998,            0.012755,            0.014149,            0.003862,            0.003862,            0.003862
                  64,            0.027053,            0.017501,            0.011285,             0.86931,             0.69052,             0.81123,              0.5409,             0.03089,            0.012244,            0.012219,            0.003763,            0.003763,            0.003763
                  65,            0.026389,            0.017822,            0.012583,             0.79678,               0.713,             0.82165,             0.53673,            0.029627,            0.011982,           0.0093104,            0.003664,            0.003664,            0.003664
                  66,            0.025547,            0.016726,            0.011429,             0.83378,             0.77216,             0.84316,             0.57236,            0.028473,            0.011683,            0.011117,            0.003565,            0.003565,            0.003565
                  67,            0.026241,              0.0169,             0.01455,             0.82376,             0.73219,             0.82904,             0.54635,            0.029602,            0.011984,            0.013258,            0.003466,            0.003466,            0.003466
                  68,            0.025411,            0.017122,            0.010048,             0.84739,             0.68986,             0.80243,             0.53283,            0.029019,            0.011902,            0.019608,            0.003367,            0.003367,            0.003367
                  69,            0.025737,            0.016888,           0.0088065,             0.78521,             0.76344,             0.81661,             0.53245,            0.028119,            0.012948,            0.013568,            0.003268,            0.003268,            0.003268
                  70,            0.025689,            0.017115,           0.0093519,             0.75638,              0.7645,              0.8083,             0.53593,             0.02939,            0.013414,            0.013074,            0.003169,            0.003169,            0.003169
                  71,             0.02543,            0.016848,             0.01019,             0.83171,             0.73722,             0.82072,             0.56193,            0.028571,            0.012388,            0.013542,             0.00307,             0.00307,             0.00307
                  72,            0.025397,            0.016821,           0.0096526,             0.85331,             0.71946,              0.8337,             0.55542,            0.029188,            0.011858,            0.011413,            0.002971,            0.002971,            0.002971
                  73,            0.024722,            0.016958,           0.0083917,             0.78547,             0.74348,             0.81216,             0.54046,             0.03009,            0.012577,            0.012541,            0.002872,            0.002872,            0.002872
                  74,            0.024422,            0.016603,           0.0096641,             0.83771,             0.70802,             0.81411,             0.54322,            0.029718,            0.012479,            0.011369,            0.002773,            0.002773,            0.002773
                  75,            0.024053,            0.015987,           0.0091316,             0.79937,             0.75356,             0.81216,             0.55166,            0.028207,            0.012421,            0.013539,            0.002674,            0.002674,            0.002674
                  76,            0.024542,            0.016901,           0.0089753,             0.88033,             0.74988,             0.84399,             0.58541,            0.029065,            0.012479,            0.012347,            0.002575,            0.002575,            0.002575
                  77,            0.023638,            0.016345,           0.0093276,              0.8768,             0.72004,             0.83743,             0.58119,            0.029567,            0.012519,            0.012842,            0.002476,            0.002476,            0.002476
                  78,            0.023994,             0.01609,           0.0082714,             0.87686,             0.75957,             0.83945,             0.57345,            0.029826,            0.012787,            0.011283,            0.002377,            0.002377,            0.002377
