                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                0.75383,                 0.4455,                0.94003,                0.73521,                0.82308,                0.79177,                0.57172,                 1.1211,                0.59028,                 1.0579,             0.00028283,             0.00028283,             0.00028283
                     35,                0.74244,                0.44307,                0.93715,                0.78983,                0.79136,                0.79059,                0.55708,                 1.1191,                0.59178,                 1.0576,             0.00027876,             0.00027876,             0.00027876
                     36,                0.74263,                0.44086,                0.93743,                0.75489,                0.82323,                0.80564,                 0.5694,                 1.1588,                0.62146,                 1.0799,              0.0002747,              0.0002747,              0.0002747
                     37,                 0.7364,                0.43348,                0.93341,                0.77231,                0.79895,                0.80468,                0.58763,                 1.0968,                0.57055,                 1.0449,             0.00027063,             0.00027063,             0.00027063
                     38,                0.72932,                0.43247,                0.93225,                0.79204,                0.79083,                 0.8192,                0.59411,                 1.1018,                0.58865,                 1.0485,             0.00026657,             0.00026657,             0.00026657
                     39,                0.73179,                0.43732,                 0.9309,                0.79389,                0.81168,                0.81262,                0.57086,                 1.1723,                0.60275,                 1.0774,              0.0002625,              0.0002625,              0.0002625
                     40,                0.72631,                0.42675,                0.92974,                0.75625,                0.82023,                 0.8006,                0.58086,                 1.0903,                0.56971,                 1.0417,             0.00025844,             0.00025844,             0.00025844
                     41,                0.72676,                0.42518,                0.93084,                 0.7582,                0.80195,                0.81116,                0.58986,                 1.0886,                0.57379,                 1.0418,             0.00025437,             0.00025437,             0.00025437
                     42,                0.72604,                0.42438,                0.93039,                0.78467,                 0.8148,                0.80638,                0.58859,                 1.0732,                0.56246,                 1.0363,              0.0002503,              0.0002503,              0.0002503
                     43,                0.71027,                0.41954,                0.92756,                0.82512,                0.78169,                0.81778,                0.60467,                 1.0627,                0.56093,                 1.0307,             0.00024624,             0.00024624,             0.00024624
                     44,                0.69944,                0.41498,                0.92086,                0.77061,                0.80491,                0.82373,                 0.6113,                 1.0616,                0.56331,                 1.0363,             0.00024217,             0.00024217,             0.00024217
                     45,                0.69478,                0.41061,                0.92091,                0.82192,                 0.7566,                0.80793,                 0.5901,                 1.1043,                0.58714,                 1.0521,             0.00023811,             0.00023811,             0.00023811
                     46,                0.70046,                0.40689,                0.91878,                0.79384,                0.82456,                0.80202,                0.58419,                 1.0987,                0.57149,                 1.0507,             0.00023404,             0.00023404,             0.00023404
                     47,                0.69389,                0.40095,                0.91648,                0.85147,                0.79898,                0.83771,                0.61887,                 1.0623,                0.55274,                 1.0307,             0.00022998,             0.00022998,             0.00022998
                     48,                0.69062,                0.39978,                0.91528,                0.81652,                0.74625,                0.81818,                 0.6011,                 1.0743,                0.56526,                 1.0452,             0.00022591,             0.00022591,             0.00022591
                     49,                0.68121,                0.40095,                0.91901,                0.79414,                0.75768,                0.82926,                0.62173,                 1.0602,                0.56457,                 1.0374,             0.00022184,             0.00022184,             0.00022184
